corpus=918, words=10275, K=20, a=0.200000, b=0.300000
initial perplexity=1876.647973
authenticity: 0.001852 (9)
signature: 0.001852 (9)

-- topic: 6 (4067 words)
says: 0.015847 (113)
attacks: 0.012211 (87)
hotel: 0.010672 (76)
bombings: 0.006196 (44)
gunmen: 0.005916 (42)
reports: 0.005357 (38)
group: 0.005217 (37)
bodies: 0.004518 (32)
hostages: 0.003958 (28)
terrorists: 0.003958 (28)
television: 0.003679 (26)
killed: 0.003679 (26)
inside: 0.003539 (25)
operation: 0.003539 (25)
groups: 0.003399 (24)
tells: 0.003259 (23)
centre: 0.003119 (22)
channel: 0.003119 (22)
militants: 0.003119 (22)
militant: 0.003119 (22)

-- topic: 7 (740 words)
military: 0.002433 (9)
tribals: 0.001910 (7)
full: 0.001387 (5)
non: 0.001387 (5)
organised: 0.001387 (5)
without: 0.001387 (5)
war: 0.001125 (4)
guerrilla: 0.001125 (4)
sensitivity: 0.001125 (4)
getting: 0.001125 (4)
instructed: 0.001125 (4)
fought: 0.001125 (4)
insurgency: 0.000863 (3)
ready: 0.000863 (3)
para: 0.000863 (3)
range: 0.000863 (3)
efforts: 0.000863 (3)
methods: 0.000863 (3)
propaganda: 0.000863 (3)
manned: 0.000863 (3)

-- topic: 8 (5496 words)
attack: 0.023116 (198)
leaders: 0.012391 (106)
state: 0.009361 (80)
party: 0.008428 (72)
convoy: 0.008195 (70)
leader: 0.006679 (57)
killed: 0.005863 (50)
former: 0.005164 (44)
security: 0.005164 (44)
camp: 0.005048 (43)
son: 0.005048 (43)
militants: 0.004698 (40)
chief: 0.004115 (35)
two: 0.003882 (33)
forces: 0.003882 (33)
pm: 0.003882 (33)
hit: 0.003532 (30)
fire: 0.003416 (29)
jawans: 0.003299 (28)
men: 0.003299 (28)

-- topic: 9 (574 words)
visa: 0.003637 (13)
diamond: 0.003090 (11)
nationals: 0.002817 (10)
bilateral: 0.002270 (8)
circular: 0.001996 (7)
traders: 0.001723 (6)
hockey: 0.001723 (6)
facility: 0.001449 (5)
queries: 0.001449 (5)
hold: 0.001176 (4)
way: 0.001176 (4)
arrival: 0.001176 (4)
matches: 0.001176 (4)
visas: 0.001176 (4)
precious: 0.001176 (4)
staff: 0.001176 (4)
catch: 0.000903 (3)
